gtin14,reason,source_sha256,product_name
00075391006177,fish_grade,a20c813a1c240dfd8420b2ccfadf426054550172d6fc9c27fd4c6d00ad6ecbc7,30/40 Count Individually Quick Frozen Scallops
00075391006344,fish_grade,5bdec431e76cd412d4a2bf40fab36598f9bdfb1604cc63a3253750e6a40df34b,21/25 Domestic Shell-On White Shrimp
00075391006757,fish_grade,e27df4a76a00a7f9405044b2a21502a2aa0448f21f870553a6540cabd1579c96,16/20 Coconut Breaded Shrimp
00075391006962,fish_grade,479695104dd69c230d6914946013848f926a1eacf1e144bc29ee72363dc1c81e,41/50 Peeled & Deveined Shrimp
00075391006979,fish_grade,479695104dd69c230d6914946013848f926a1eacf1e144bc29ee72363dc1c81e,41/50 Peeled & Deveined Shrimp
00075391007228,fish_grade,5c9c8e65d7eb27b7b03a09f06cd0554c6af4a411ca6cb7e0e38bed8525a41a37,21/25 Easy-Peel Shrimp
00075391007303,fish_grade,cb8c642c1a89f12d73fd92de49e74664f4bf6da936047ea39bc68a611feb8a80,51/60 Easy Peel-and-Eat Shrimp
00075391007624,fish_grade,43dae8267d1c225bfdbdd5e1437dd250d71987b44b27cf375774b36184d02b0b,21/30 Count Easy-Peel Shrimp
00075391007952,fish_grade,3a7961fe87a27156b32fc086bff392db5f1df09661a8c11fdd7b0f5be65a0f3d,26/30 Individually Quick Frozen Peeled & Deveined Shrimp
00075391009871,fish_grade,200ef906a4140ff0ca6b1d00582580387ab9fc56d5b349ebb2ed354ef3816422,80/120 Count Individually Quick Frozen Scallops
00075391010419,fish_grade,ba8b812cb9bf30aeb3b165f8172eef343dd7a7bf482e995641a998de288e751d,60/70 Peeled & Deveined Shrimp
00075391010587,fish_grade,a16bae090934985a3fb1e1a634d7a7cc65804bb94229a49af04cb48e8687ba01,21/25 Breaded Torpedo Shrimp
00075391010969,fish_grade,3e9834f21f36f30c109d2d9a3b20811404ee3173632339820d511b6442ae7ac9,12/16 Count Breaded Butterfly Shrimp
00075391011157,fish_grade,d18aae883c24423d4a47c92a9d6c0ae1e27226a9292dfabd65ce95c8cfd048c5,8/10 Oz. Unicorn Filefish
00075391011515,fish_grade,3397ffecb0679065e6c413080b4127d06d3e9a75c86a88774776054bc50f7b8e,26/30 Domestic Shell-On White Shrimp
00075391013311,fish_grade,ee963169ff6ab007ede1dde4c63d0e9faa73f0816d1169faacb85ae30ce784a7,40/60 Breaded Scallops
00075391013397,fish_grade,f7dd8b3dfad251036921202295a1f394e980b4bd174f731c22fede66636328ea,8/12 Easy-Peel Shrimp
00075391013953,fish_grade,d4ba9b71af250bdcf054701144c1b356428d37eae8b4620d9b2abcca263909da,13/15 Cooked Peeled & Deveined Tail-On Shrimp
00075391015223,fish_grade,5345bbb42848eded0eebf82dab3840a517b12072dcc6f5bbd32a93fe2b547dff,40/60 Count Individually Quick Frozen Scallops
00075391953778,fish_grade,cc257e94f79b5a0f4e4bf420109eb744e3bcc4318d9045cc843f7950a9c752c7,20 Oz. and Up Lobster Tails
00033900616064,piece_rate,ca66df9a668a1096c8582285b81c452302270b3cd2f48d72003873b75bcbce36,"Dry Aged, Naturally Smoked Hickory Bacon, Raw, 18-22 Slices per lb., Certified Gluten-Free"
00033900616156,piece_rate,ab219b61409e2350977306245af7917e8732161f2532e07c5f83d31bced8218b,"Dry Aged, Naturally Smoked Hickory Bacon, Raw, 9-11 Slices per lb., Certified Gluten-Free"
00033900616408,piece_rate,82d552f605f0aa1618f4987155bcdb232070fab9da2c83706a19fdb12ad43b90,"Dry Aged, Naturally Smoked Cherrywood Bacon, Raw, 14-18 Slices per lb., Certified Gluten-Free"
